open,cost
6,0.020166667
66,0.459151515
19,29.37631579
20,21.82475
2,0.275
2,1.383
4,8.071
3,0.433666667
24,0.004083333
1,0.171
5,0.0114
7,2.789857143
44,6.78875
74,0.005662162
2,3.9255
5,1.1866
172,13.22083721
6,72.30166667
3,4.161666667
136,0.376073529
6,0.008166667
3,1.818333333
2,0.1675
23,0.032782609
63,0.044095238
6,22.26433333
45,2.425911111
45,2.425911111
23,0.013217391
2,0.939
2,0.939
29,5.550827586
29,5.550827586
20,0.32965
38,6.137026316
5,15.6894
4,3.079
26,0.053269231
2,1.7345
17,31.86676471
2,0.0125
50,0.0878
37,0.008567568
3,0.013333333
2,0.007
178,0.659016854
16,0.0116875
139,0.070143885
250,0.086884
5,96.3414
3,0.549333333
4,0.657
1,2.204
1,2.226
3,19.84333333
1,0.054
1,0.103
9,0.270444444
1,32.211
63,0.062730159
1,1281.086
1,0.172
3,0.577
1,0.041
1,0.005
2,0.0195
4,4.78025
2,0.0105
7,0.014285714
2,0.0555
5,0.2496
6,7.423833333
4,0.044
45,4.445711111
12,14.11275
4,0.48825
2,13.205
1,0.27
1,0.306
2,0.242
3,0.656
9,0.443
3,0.074666667
35,0.098257143
1,0.25
6,0.137166667
26,1.871153846
22,0.612272727
28,0.053178571
19,0.054894737
28,0.053178571
11,0.012909091
9,141.1175556
4,7.56575
48,0.0298125
4,4.69925
36,0.263888889
12,0.118666667
14,0.077214286
32,0.06896875
55,1.777890909
2,20.0415
22,0.000318182
22,0.000318182
9,0.046333333
192,0.227359375
739,0.040568336
2,0.007
22,1.972272727
431,1.266556845
1,0.008
1,0.009
1,0.016
2,0.0785
3,0.012
1,0.008
1,0.008
1,0.008
4,0.0055
3,0.009
14,0.0585
4,0.0175
8,0.131375
43,36.51113953
43,36.51113953
1,4.586
55,2.255036364
1,0.027
1775,1.908162254
7,6.985571429
1,1.615
4,0.0885
7,0.021714286
3,6.078
22,6.777636364
22,6.777636364
191,7.883
1,0.038
19,2.203473684
2,0.0135
30,2.080266667
13,0.316615385
23,0.011043478
10,0.926
93,3.740215054
5,0.009
42,4.375761905
4,4.334
2,9.2095
4,0.11125
7,0.204857143
2,6.9735
6,8.537833333
3,1.32
26,178.4611538
26,178.4611538
7418,2.512266649
4,233.07875
2,19.655
2,0.083
2,0.0105
2,28.574
4,0.2505
14,206.7663571
25,0.85748
110,0.055609091
857,2.46430105
857,2.46430105
9,10.725
20,0.0868
22,0.000318182
2,0.0195
67,0.876313433
17,3.960529412
644,0.259375776
274,43.68675547
16,1.6068125
2,0.221
5,13.2246
1,41.339
6,0.005
21,0.154761905
12,7.40775
4,0.0745
105,0.137761905
4,80.9315
19,0.235789474
2,0
2,0
117,0.372529915
2,0.011
14,0.085071429
3,0.203
177,0.670576271
12,0.71425
2,0.0005
11,0.092818182
6,0.009833333
7,19.363
2,0.0395
2,0.0395
13,0.055615385
4,0.198
8,0.014375
8,0.0175
27,0.174703704
8,0.036375
14,0.130357143
73,0.009424658
1,2.036
6,0.0495
12,1.7895
5,5.0668
1,0.018
1,0.02
15,0.021933333
10,0.0111
7,0.208428571
3,2.23
2,0.0105
52,0.414711538
27,0.21562963
12,94.46716667
14,18.27835714
1,8.25
14,18.34028571
8,0.021125
3,0.821
4,31.85725
11,0.258818182
12,1.985916667
4,2.627
982,0.049343177
5,3.4086
28,1.352928571
16,0.0970625
25,5.17464
9,0.026777778
14,0.106714286
8,1.1945
3,0.728666667
15,0.174133333
6,1.486666667
12,1.89425
5,0.1614
14,0.085071429
4,0.247
27,0.496555556
51,0.061352941
1,0.008
50,0.00964
27,1.180407407
1,0.014
8,0.6315
7,1.081714286
7,0.81
4,3.1645
8,0.436625
2,20.4955
27,1.476777778
10,67.7047
3,0.248
5,0.1682
6,0.113666667
15,0.0104
3,2.724
3,2.724
58,0.07737931
80,0.0370125
2,0.0255
8,18.123625
3,1.977666667
1,0.029
12,0.025666667
22,3.493909091
32,0.2755625
110,1.1432
7,1.620714286
3,0.063333333
2,0.0325
133,1.27818797
7,0.041714286
8,0.2765
7,0.211428571
44,0.192727273
3,0.076666667
